Full name,Faction,Sort_class,Enemy,Sort_part,Part,Show Main,Main view,Alt view,Credit (3D model). Additional modifications such as highlighting and identification of parts are done by myself.,HP,Armor,Durability,To main,Tag,Demo,ExDR,BaDR,Fire Mult,Correction,Constitution,Main cap,ExVM,Light stagger,Medium stagger,Heavy stagger,Massive stagger,,Notes
Automatons / Medium / Heavy Devastator / Arm (each),Automatons,6,Medium / Heavy Devastator,4,Arm (each),--,https://i.postimg.cc/4xHvh1rj/front-arms.jpg,https://i.postimg.cc/KjQfJvNV/Side-arms.jpg,Discord : valkyrie9001,260,1,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,Destroying a Devastator's arm will disarm it.
Automatons / Medium / Heavy Devastator / Torso,Automatons,6,Medium / Heavy Devastator,5,Torso,--,https://i.postimg.cc/tCSD6J7n/front-torso.jpg,https://i.postimg.cc/BvWT5K3b/Side-torso.jpg,Discord : valkyrie9001,425,3,30%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Boss,Automatons,6,Medium / Heavy Devastator,6,Boss,--,https://i.postimg.cc/gkTqJ7Bv/front-boss.jpg,https://i.postimg.cc/gkTqJ7Bv/front-boss.jpg,Discord : valkyrie9001,350,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Hip,Automatons,6,Medium / Heavy Devastator,7,Hip,--,https://i.postimg.cc/hv4bzRB0/front-hip-assembly.jpg,https://i.postimg.cc/RFdwzpHJ/Side-Hips.jpg,Discord : valkyrie9001,500,2,0%,75%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Leg (each),Automatons,6,Medium / Heavy Devastator,8,Leg (each),--,https://i.postimg.cc/SshG4z13/front-legs.jpg,https://i.postimg.cc/BbDr7Fy6/Side-legs.jpg,Discord : valkyrie9001,500,2,0%,60%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Fusion powerpack,Automatons,6,Medium / Heavy Devastator,9,Fusion powerpack,--,https://i.postimg.cc/Gh2xbRzL/front-gatling-pack.jpg,https://i.postimg.cc/XJfQBgyn/side-gatling-pack.jpg,Discord : valkyrie9001,600,2,0%,40%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Medium / Heavy Devastator / Shield,Automatons,6,Medium / Heavy Devastator,10,Shield,--,https://i.postimg.cc/dVgBWf2q/front-shield.jpg,https://i.postimg.cc/50b8TW6M/side-shield.jpg,Discord : valkyrie9001,X,5,0%,0%,X,--,0%,0%,0%,0,0,--,--,--,--,--,--,,Invulnerable.
Automatons / Medium / Scout strider / [MAIN],Automatons,7,Medium / Scout strider,1,[MAIN],0,https://i.postimg.cc/mDqBhMKZ/front-Main.jpg,https://i.postimg.cc/TwhTRQ7H/Side-main.jpg,Discord : valkyrie9001,500,4,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,"1, 0.5, N","20, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Scout strider / Pilot head,Automatons,7,Medium / Scout strider,2,Pilot head,--,https://i.postimg.cc/pd8Xr8ks/front-pilot.jpg,https://i.postimg.cc/qqBk1FrF/Side-pilot.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,Pilot is an Automaton Trooper.
Automatons / Medium / Scout strider / Pilot,Automatons,7,Medium / Scout strider,2,Pilot,--,https://i.postimg.cc/pd8Xr8ks/front-pilot.jpg,https://i.postimg.cc/qqBk1FrF/Side-pilot.jpg,Discord : valkyrie9001,125,0,0%,0%,Lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,Pilot is an Automaton Trooper.
Automatons / Medium / Scout strider / Cabin,Automatons,7,Medium / Scout strider,3,Cabin,--,https://i.postimg.cc/d3SK4t47/front-plate.jpg,https://i.postimg.cc/4xHX2VCX/side-cabin.jpg,Discord : valkyrie9001,350,4,0%,0%,Lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,"If the weapon inflicts an explosion, damage to [MAIN] will emulate damage to pilot. Depending on the weapon's blast radius, it is always preferable to target the point closest to the pilot."
Automatons / Medium / Scout strider / Gun,Automatons,7,Medium / Scout strider,4,Gun,--,https://i.postimg.cc/MTqxGLnG/front-cannon.jpg,https://i.postimg.cc/1zxskXPw/side-cannon.jpg,Discord : valkyrie9001,300,4,0%,0%,Lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,"If the weapon inflicts an explosion, damage to [MAIN] will emulate damage to pilot. Depending on the weapon's blast radius, it is always preferable to target the point closest to the pilot."
Automatons / Medium / Scout strider / Controls,Automatons,7,Medium / Scout strider,5,Controls,--,https://i.postimg.cc/pL3LPkQ9/Front-pivot.jpg,https://i.postimg.cc/wTZpNM1Z/back-controls.jpg,Discord : valkyrie9001,300,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"If the weapon inflicts an explosion, damage to [MAIN] will emulate damage to pilot. Depending on the weapon's blast radius, it is always preferable to target the point closest to the pilot."
Automatons / Medium / Scout strider / Waist,Automatons,7,Medium / Scout strider,6,Waist,--,https://i.postimg.cc/MTSZQTFq/front-waist.jpg,https://i.postimg.cc/KvHZ5QH9/Side-waist.jpg,Discord : valkyrie9001,300,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"If the weapon inflicts an explosion, damage to [MAIN] will emulate damage to pilot. Depending on the weapon's blast radius, it is always preferable to target the point closest to the pilot."
Automatons / Medium / Scout strider / Leg (each),Automatons,7,Medium / Scout strider,7,Leg (each),--,https://i.postimg.cc/QxHDV1dc/front-legs.jpg,https://i.postimg.cc/tRDRs9tG/Side-legs.jpg,Discord : valkyrie9001,400,2,75%,50%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,"If the weapon inflicts an explosion, damage to [MAIN] will emulate damage to pilot. Depending on the weapon's blast radius, it is always preferable to target the point closest to the pilot."
Automatons / Medium / Rocket strider / [MAIN],Automatons,7,Medium / Rocket strider,1,[MAIN],0,https://i.postimg.cc/fkQsfsw6/front-main.jpg,https://i.postimg.cc/CMBf74hN/Side-main.jpg,Discord : dark728,500,4,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,"1, 0.5, N","20, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Rocket strider / Cabin,Automatons,7,Medium / Rocket strider,2,Cabin,--,https://i.postimg.cc/vZCfCrch/front-cabin.jpg,https://i.postimg.cc/c44R31pR/Side-cabin.jpg,Discord : dark728,400,4,0%,0%,Lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,"If you're using an AP3 explosive weapon, the explosion can potentially damage the strider's legs, depending on the location of the impact and the line of sight towards one of the legs. However, it will be more efficient to aim directly at the leg rather than the cabin, due to LoS incosistency."
Automatons / Medium / Rocket strider / Gun,Automatons,7,Medium / Rocket strider,3,Gun,--,https://i.postimg.cc/C1gDxwCf/front-turret.jpg,https://i.postimg.cc/NMkXyZbC/side-gun.jpg,Discord : dark728,300,4,0%,0%,Lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,"If you're using an AP3 explosive weapon, the explosion can potentially damage the strider's legs, depending on the location of the impact and the line of sight towards one of the legs. However, it will be more efficient to aim directly at the leg rather than the cabin, due to LoS incosistency."
Automatons / Medium / Rocket strider / Rail (each),Automatons,7,Medium / Rocket strider,4,Rail (each),--,https://i.postimg.cc/QCjp0jHr/front-rail.jpg,https://i.postimg.cc/vBrrr48z/side-rail.jpg,Discord : dark728,200,3,0%,0%,Lethal,--,80%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,Destroying the rail will detonate the rockets.
Automatons / Medium / Rocket strider / Rocket (each),Automatons,7,Medium / Rocket strider,5,Rocket (each),--,https://i.postimg.cc/hjW8QLnv/front-rockets.jpg,https://i.postimg.cc/KjQtWCM3/side-missile.jpg,Discord : dark728,100,2,0%,0%,Lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Medium / Rocket strider / Controls,Automatons,7,Medium / Rocket strider,6,Controls,--,https://i.postimg.cc/x1XLsxTq/front-pivot.jpg,https://i.postimg.cc/ry9GzRPy/side-pivot.jpg,Discord : dark728,300,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"If you're using an AP3 explosive weapon, the explosion can potentially damage the strider's legs, depending on the location of the impact and the line of sight towards one of the legs. However, it will be more efficient to aim directly at the leg rather than the cabin, due to LoS incosistency."
Automatons / Medium / Rocket strider / Waist,Automatons,7,Medium / Rocket strider,7,Waist,--,https://i.postimg.cc/43tVGYcg/front-torso.jpg,https://i.postimg.cc/c49QByWV/side-torso.jpg,Discord : dark728,300,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"If you're using an AP3 explosive weapon, the explosion can potentially damage the strider's legs, depending on the location of the impact and the line of sight towards one of the legs. However, it will be more efficient to aim directly at the leg rather than the cabin, due to LoS incosistency."
Automatons / Medium / Rocket strider / Leg (each),Automatons,7,Medium / Rocket strider,8,Leg (each),--,https://i.postimg.cc/2yHBGvs4/front-legs.jpg,https://i.postimg.cc/wMxmDFGq/side-legs.jpg,Discord : dark728,400,2,75%,50%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Special / Gunship / [MAIN],Automatons,8,Special / Gunship,1,[MAIN],0,https://i.postimg.cc/259VF1gM/side-Main.jpg,https://i.postimg.cc/tT17rXjT/front-main.jpg,Discord : valkyrie9001,950,3,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Special / Gunship / Chassis (front),Automatons,8,Special / Gunship,2,Chassis (front),--,https://i.postimg.cc/nLt4DxN5/body-v2.jpg,https://i.postimg.cc/wxtV4jf9/front-body.jpg,Discord : valkyrie9001,-1,3,100%,100%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,"Chassis (front) and chassis (rear) are one and the same. The only reason for this division is to make the explosion cleave calculation more accurate, given the elongated shape of the chassis and the layout of the thruster."
Automatons / Special / Gunship / Chassis (rear),Automatons,8,Special / Gunship,3,Chassis (rear),--,https://i.postimg.cc/nLt4DxN5/body-v2.jpg,https://i.postimg.cc/wxtV4jf9/front-body.jpg,Discord : valkyrie9001,-1,3,100%,100%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,"Chassis (front) and chassis (rear) are one and the same. The only reason for this division is to make the explosion cleave calculation more accurate, given the elongated shape of the chassis and the layout of the thruster."
Automatons / Special / Gunship / Front thruster (each),Automatons,8,Special / Gunship,4,Front thruster (each),--,https://i.postimg.cc/pdXQfW5b/side-front-engines.jpg,https://i.postimg.cc/wMs7XPkd/front-engines.jpg,Discord : valkyrie9001,400,3,85%,0%,Lethal,--,0%,0%,0%,0,0,--,All,--,--,--,--,,No notes.
Automatons / Special / Gunship / Rear thruster (each),Automatons,8,Special / Gunship,7,Rear thruster (each),--,https://i.postimg.cc/TP7VQzny/side-rear-engines.jpg,https://i.postimg.cc/FF2xMX83/front-rear-engines.jpg,Discord : valkyrie9001,400,3,80%,0%,Lethal,--,0%,0%,0%,0,0,--,All,--,--,--,--,,No notes.
Automatons / Special / Dropship / [MAIN],Automatons,8,Special / Dropship,1,[MAIN],0,https://i.postimg.cc/jSXW2gcs/side-Main.jpg,https://i.postimg.cc/9fQD7dgy/front-main.jpg,Discord : valkyrie9001,3500,5,100%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Special / Dropship / Chassis,Automatons,8,Special / Dropship,2,Chassis,--,https://i.postimg.cc/hP172FBS/side-chassis.jpg,https://i.postimg.cc/bJnZbWgf/front-chassis.jpg,Discord : valkyrie9001,-1,5,100%,100%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Automatons / Special / Dropship / Thruster (each),Automatons,8,Special / Dropship,3,Thruster (each),--,https://i.postimg.cc/d0LkQLT1/side-engines.jpg,https://i.postimg.cc/CMjZKydj/front-engines.jpg,Discord : valkyrie9001,1500,5,100%,0%,Lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Heavy / Hulk / [MAIN],Automatons,9,Heavy / Hulk,1,[MAIN],1,https://i.postimg.cc/wxbvW6tc/front-torso.jpg,https://i.postimg.cc/YqZvSpMq/side-torso.jpg,Discord : valkyrie9001,1800,4,60%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"20, 0.5, N",--,--,"40, 1, Y",,No notes.
Automatons / Heavy / Hulk / Eye,Automatons,9,Heavy / Hulk,2,Eye,--,https://i.postimg.cc/V6K6PwKw/front-eye.jpg,https://i.postimg.cc/V6K6PwKw/front-eye.jpg,Discord : valkyrie9001,250,4,25%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Heavy / Hulk / Vent,Automatons,9,Heavy / Hulk,3,Vent,--,https://i.postimg.cc/52z6YZ25/back-vent.jpg,https://i.postimg.cc/52z6YZ25/back-vent.jpg,Discord : valkyrie9001,900,1,60%,60%,Lethal,--,0%,0%,0%,0,650,Yes,All,--,--,--,--,,"Reducing this part's HP to 0 triggers [650, -50/s] BleedsOut."
Automatons / Heavy / Hulk / Arm (each),Automatons,9,Heavy / Hulk,4,Arm (each),--,https://i.postimg.cc/J0gztqwd/front-arms.jpg,https://i.postimg.cc/K8t8vB0J/side-arms.jpg,Discord : valkyrie9001,500,4,70%,80%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,Destroying a Hulk's arm will disarm it.
Automatons / Heavy / Hulk / Leg (each),Automatons,9,Heavy / Hulk,5,Leg (each),--,https://i.postimg.cc/JnrnF0cK/front-legs.jpg,https://i.postimg.cc/rpLzSQDB/side-legs.jpg,Discord : valkyrie9001,500,4,80%,80%,Non lethal,--,100%,0%,0%,0,500,No,--,--,--,--,--,,"Reducing this part's HP to 0 triggers [500, -50/s] BleedsOut. Then puts the Hulk into Constitution [0, -0/s]. Considering that this part is not fatal, this will leave the Hulk with virtually 1 HP (0 constitution, 0 changerate) once the BleedsOut is consumed."
Automatons / Heavy / Tank / [MAIN],Automatons,9,Heavy / Tank,1,[MAIN],0,https://i.postimg.cc/Fs5RtTZ7/front-main.jpg,https://i.postimg.cc/Fs5RtTZ7/front-main.jpg,Discord : valkyrie9001,3000,5,100%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Heavy / Tank / Front,Automatons,9,Heavy / Tank,2,Front,--,https://i.postimg.cc/VkwdtKr3/front-chassis.jpg,https://i.postimg.cc/VkwdtKr3/front-chassis.jpg,Discord : valkyrie9001,-1,5,100%,100%,Non lethal,--,35%,0%,0%,0,0,No,All,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Side (each),Automatons,9,Heavy / Tank,3,Side (each),--,https://i.postimg.cc/5t70Z17V/side-chassis.jpg,https://i.postimg.cc/HnJpGyJ0/back-chassis-side.jpg,Discord : valkyrie9001,-1,5,100%,100%,Non lethal,--,35%,0%,0%,0,0,No,All,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Track (each),Automatons,9,Heavy / Tank,4,Track (each),--,https://i.postimg.cc/cLc6Bff6/side-tracks.jpg,https://i.postimg.cc/pXzmywTf/front-tracks.jpg,Discord : valkyrie9001,750,3,100%,100%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Engine,Automatons,9,Heavy / Tank,5,Engine,--,https://i.postimg.cc/3NP33xps/back-chassis.jpg,https://i.postimg.cc/3NP33xps/back-chassis.jpg,Discord : valkyrie9001,750,3,100%,150%,Lethal,--,50%,0%,0%,0,0,No,All,--,--,--,--,,"Puts the Tank into Constitution [0, -100/s]. From this point on, any damage inflicted on [MAIN] will kill the tank, or it will explode naturally on the first constitution tick (1s)."
Automatons / Heavy / Tank / Underneath (AT mines),Automatons,9,Heavy / Tank,2,Underneath (AT mines),--,https://i.postimg.cc/VkwdtKr3/front-chassis.jpg,https://i.postimg.cc/VkwdtKr3/front-chassis.jpg,Discord : valkyrie9001,-1,5,100%,100%,Non lethal,--,35%,0%,0%,0,0,No,All,--,--,--,--,,Use this entry to simulate how AT-mines behaves against the target.
Automatons / Heavy / Tank / Annihilator turret main,Automatons,9,Heavy / Tank,6,Annihilator turret main,--,https://i.postimg.cc/jSjYBfGD/side-annihilator-turret-main.jpg,https://i.postimg.cc/RFKkwLnD/front-annihilator-turret-main.jpg,Discord : valkyrie9001,2100,5,100%,--,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,"Behaves as the turret [MAIN]. If you're using an AP3 or AP4 explosive weapon, the explosion can potentially damage the turret vent, depending on the location of the impact and the LoS check. However, it will be more efficient to aim directly at the weak point."
Automatons / Heavy / Tank / Annihilator turret vent,Automatons,9,Heavy / Tank,7,Annihilator turret vent,--,https://i.postimg.cc/NfDwNDPh/back-annihilator-turret-vent.jpg,https://i.postimg.cc/yYsHXtjX/side-vent-annihilator.jpg,Discord : valkyrie9001,750,3,100%,200%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Barrager turret main,Automatons,9,Heavy / Tank,9,Barrager turret main,--,https://i.postimg.cc/4NpY4Cz7/side-main-barrager.jpg,https://i.postimg.cc/NjY55N4N/front-Main-barrager.jpg,Discord : dark728,2100,5,100%,--,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Barrager turret tubes,Automatons,9,Heavy / Tank,9,Barrager turret tubes,--,https://i.postimg.cc/MTN3GjvZ/Barrager-front-tubes.jpg,https://i.postimg.cc/25HXPtYZ/Barrager-rear-tubes.jpg,Discord : dark728,750,3,100%,200%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Heavy / Tank / Shredder turret main,Automatons,9,Heavy / Tank,10,Shredder turret main,--,https://i.postimg.cc/Gtb5GwR4/side-shredder-turret-main.jpg,https://i.postimg.cc/ZRDghymc/front-shredder-main.jpg,Discord : valkyrie9001,2100,5,100%,--,Lethal,--,0%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,"Behaves as the turret [MAIN]. Behaves as the turret [MAIN]. If you're using an AP3 or AP4 explosive weapon, the explosion can potentially damage the turret vent, depending on the location of the impact and the LoS check. However, it will be more efficient to aim directly at the weak point."
Automatons / Heavy / Tank / Shredder turret vent,Automatons,9,Heavy / Tank,11,Shredder turret vent,--,https://i.postimg.cc/50BrX9hc/side-shredder-turret-vent.jpg,https://i.postimg.cc/K8WwVHPW/back-shredder-turret-vent.jpg,Discord : valkyrie9001,750,3,100%,200%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / [MAIN],Automatons,10,Heavy / Factory Strider,1,[MAIN],0,https://i.postimg.cc/nLrLzHMk/Main2.jpg,https://i.postimg.cc/52x0h5VD/Main2.jpg,Discord : dark728 / rideranton,10000,4,100%,--,Lethal,--,40%,0%,100%,0,0,--,OuterRadius,"50, 0.5, N",--,--,"60, 0.5, N",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Heavy / Factory Strider / Cannon turret,Automatons,10,Heavy / Factory Strider,2,Cannon turret,--,https://i.postimg.cc/Y90JsBVT/Turret.jpg,https://i.postimg.cc/TPLsVJDX/Turret.jpg,Discord : dark728 / rideranton,900,5,100%,0%,Non lethal,--,50%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Head armor,Automatons,10,Heavy / Factory Strider,4,Head armor,--,https://i.postimg.cc/tgcjygh9/Head-armour.jpg,https://i.postimg.cc/fRkqsf50/Head-armour.jpg,Discord : dark728 / rideranton,1500,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Head,Automatons,10,Heavy / Factory Strider,3,Head,--,https://i.postimg.cc/zfvr9hHd/Head.jpg,https://i.postimg.cc/8C6yJk2p/Head.jpg,Discord : dark728 / rideranton,2500,4,100%,100%,Lethal,--,40%,0%,0%,0,0,No,All,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Damaged head,Automatons,10,Heavy / Factory Strider,5,Damaged head,--,https://i.postimg.cc/fL3M0dw3/Damaged-head.jpg,https://i.postimg.cc/ZR6DgYH7/Damaged-head.jpg,Discord : dark728 / rideranton,2500,4,100%,100%,Lethal,--,40%,0%,0%,750,0,No,All,--,--,--,--,,"It's the exact same part than ""Head"". Includes 750 damage to [MAIN] dealt by breaching Head armor."
Automatons / Heavy / Factory Strider / Gatling (each),Automatons,10,Heavy / Factory Strider,6,Gatling (each),--,https://i.postimg.cc/4d0rCFRy/Gatlings.jpg,https://i.postimg.cc/8P4xN5Sx/Gatlings.jpg,Discord : dark728 / rideranton,300,3,100%,0%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Neck armor,Automatons,10,Heavy / Factory Strider,7,Neck armor,--,https://i.postimg.cc/FHDvWpzd/Neck-armor.jpg,https://i.postimg.cc/tCBv8Mdj/Neck-armor.jpg,Discord : dark728 / rideranton,1500,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Neck,Automatons,10,Heavy / Factory Strider,8,Neck,--,https://i.postimg.cc/k4td5dcK/Neck.jpg,https://i.postimg.cc/1Rq9mDC2/Damaged-neck.jpg,Discord : dark728 / rideranton,2500,4,100%,100%,Lethal,--,40%,0%,0%,0,0,No,All,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Front top armor,Automatons,10,Heavy / Factory Strider,9,Front top armor,--,https://i.postimg.cc/Qxgh5hrq/Front-top-armor.jpg,https://i.postimg.cc/yxPp1fw0/Front-top-armor-extended.jpg,Discord : dark728 / rideranton,2200,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Front engine,Automatons,10,Heavy / Factory Strider,10,Front engine,--,https://i.postimg.cc/FHK8R4Fz/Front-engine.jpg,https://i.postimg.cc/FHK8R4Fz/Front-engine.jpg,Discord : dark728 / rideranton,2000,4,100%,100%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Front armor,Automatons,10,Heavy / Factory Strider,11,Front armor,--,https://i.postimg.cc/wjVxKHfB/Front-armour.jpg,https://i.postimg.cc/fRgFSrkK/Front-armour.jpg,Discord : dark728 / rideranton,2200,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Front circuits,Automatons,10,Heavy / Factory Strider,12,Front circuits,--,https://i.postimg.cc/L5LRxMg2/damaged-front-circuits.jpg,https://i.postimg.cc/8C20tfRf/damaged-Front-circuits.jpg,Discord : dark728 / rideranton,2400,3,100%,50%,Lethal,--,40%,0%,0%,660,0,No,All,--,--,--,--,,Armor must be breached first. Includes 660 damage to [MAIN] dealt by breaching corresponding side armor.
Automatons / Heavy / Factory Strider / Side armor (each),Automatons,10,Heavy / Factory Strider,13,Side armor (each),--,https://i.postimg.cc/qBPvy16p/Side-armour.jpg,https://i.postimg.cc/qBPvy16p/Side-armour.jpg,Discord : dark728 / rideranton,2200,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Side circuits,Automatons,10,Heavy / Factory Strider,14,Side circuits,--,https://i.postimg.cc/GpmLdNVx/damaged-Side-circuits.jpg,https://i.postimg.cc/GpmLdNVx/damaged-Side-circuits.jpg,Discord : dark728 / rideranton,2400,3,100%,100%,Lethal,--,40%,0%,0%,660,0,No,All,--,--,--,--,,Armor must be breached first. Shares its HP with correspondig side underbelly door. Includes 660 damage to [MAIN] dealt by breaching corresponding side armor.
Automatons / Heavy / Factory Strider / Rear armor,Automatons,10,Heavy / Factory Strider,15,Rear armor,--,https://i.postimg.cc/YqQq3QQY/Rear-armour.jpg,https://i.postimg.cc/QM1bN47V/Rear-armour.jpg,Discord : dark728 / rideranton,2200,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Rear engine,Automatons,10,Heavy / Factory Strider,16,Rear engine,--,https://i.postimg.cc/tJV89t95/Rear-engine.jpg,https://i.postimg.cc/tJV89t95/Rear-engine.jpg,Discord : dark728 / rideranton,2200,5,100%,50%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Rear engine weakspot,Automatons,10,Heavy / Factory Strider,17,Rear engine weakspot,--,https://i.postimg.cc/Pq2gy56m/Rear-engine-weakspot.jpg,https://i.postimg.cc/Pq2gy56m/Rear-engine-weakspot.jpg,Discord : dark728 / rideranton,1500,3,75%,100%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Rear circuits,Automatons,10,Heavy / Factory Strider,18,Rear circuits,--,https://i.postimg.cc/j5Gt6j5M/damaged-rear-circuits.jpg,https://i.postimg.cc/Kz5DB1J2/Rear-circuits.jpg,Discord : dark728 / rideranton,2400,3,100%,100%,Lethal,--,40%,0%,0%,660,0,No,All,--,--,--,--,,"Armor must be breached first. Constitution [1200, -0/s]. Includes 660 damage to [MAIN] dealt by breaching corresponding side armor."
Automatons / Heavy / Factory Strider / Leg armor (each),Automatons,10,Heavy / Factory Strider,19,Leg armor (each),--,https://i.postimg.cc/rwcyYz9b/Legs-armour.jpg,https://i.postimg.cc/Y9NbRn2T/Legs-armour.jpg,Discord : dark728 / rideranton,1500,5,100%,30%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,Each leg is covered by distinct upper and lower armour.
